GTS 2020 ID,GTS 2012 ID,Sample,Locality,Lat-Long,Lithostratigraphy,Age (Ma),± 2s analytical,± 2s total,Age Type,Primary radioisotopic age details,Zonal range assignment/clade,Zonal range assignment/zonation,Zonal range assignment/zone,Biostratigraphy,Reference
Cb18,,tonstein; Gabriela coal (seam 365),"Julius Fućık Mine, Petrvald, Moravia- Silesia Region, Czech Republic","49o49.166'N, 18o22.691'E","Jaklovec Member, Ostrava Fm",325.64,± 0.13,± 0.40,206Pb/238U,Five of eight single zircon grain analyses (excluding one older and two younger grains) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,ammonoid,NW Europe,"Eumorphoceras bisulcatum Zone","Jaklovec and Poruba Members of the Ostrava Formation assigned to the goniatite E2 (Eumorphoceras bisulcatum) Zone, Arnsbergian Substage of the Namurian Stage of Western Europe.",Jirasek et al. (2018)
Cb17,,tonstein; Eleonara coal (seam 335),"Julius Fućık Mine, Petrvald, Moravia- Silesia Region, Czech Republic","49o49.166'N, 18o22.691'E","Jaklovec Member, Ostrava Fm",325.58,± 0.26,± 0.46,206Pb/238U,Four of seven single zircon grain analyses (excluding three younger grains) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike. ,ammonoid,NW Europe,"Eumorphoceras bisulcatum Zone","Jaklovec and Poruba Members of the Ostrava Formation assigned to the goniatite E2 (Eumorphoceras bisulcatum) Zone, Arnsbergian Substage of the Namurian Stage of Western Europe.",Jirasek et al. (2018)
Cb16,Cb10,tonstein; Ruzeny coal (seam 103),"Upper Silesian Basin, Ostrava, Czech Republic (ton. 106-B2 Karel, 146.92*146.94 m, Staric2 borehole)","~49.8oN, 18.3oE","Lower Hrusov Member, Ostrava Fm",327.58,± 0.17,± 0.39,206Pb/238U,"Weighted mean of 5 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",conodont,Boreal,Lochriea ziegleri Zone,Tonstein occurs in the Pendleian Substage of the Namurian Stage of Western Europe.,Jirasek et al. (2013)
Cb15,,Main Ostrava Whetstone,"Paskov mine, Upper Silesian Basin, Ostrava, Czech Republic","~49.8oN, 18.3oE","boundary between Petrkovice Member and Lower Hrusov Member, Ostrava Fm",327.35,± 0.15,± 0.49,206Pb/238U,"Weighted mean of 5 single zircon grain analyses, utilizing CA-TIMS and the ET2535 spike.",conodont,Boreal,Lochriea ziegleri Zone,Tonstein occurs in the Pendleian Substage of the Namurian Stage of Western Europe.,Jirasek et al. (2013)
Cb14,Cb9,tonstein; c11 coal,"Yuzhno-Donbasskaya, Shaft No 3, Ugledar; Donets Basin","47.7839oN, 37.2474oE","Samarskaya Fm, C13(C) lithostratigraphic index, D13lower (5 C4) limestone",328.14,± 0.20,± 0.40,206Pb/238U,"Weighted mean of 8 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",conodont,Boreal,Lochriea ziegleri Zone,"middle C1vg2 biostratigraphic zone of Donets Basin; correlative with the Lochriea ziegleri zone of Urals, the Tarussian and lower Steshevian Horizons of the Russian Platform, and the Eumorphoceras ammonoid zone (Pendleian and Arnsbergian substages) of the Namurian of Western Europe.",Davydov et al. (2010)
Cb13,,Bentonite B6; sample BLL1976,"BGS Harewood Borehole, 12 km NNE of Leeds, West Yorkshire, England; 304.10-m depth","53o54'N, 1o31'W","upper part of eumorphoceras yatesae (E2a3) Marine Band, Arnsbergian Substage",328.34,± 0.30,± 0.55,206Pb/238U,Eleven of seventeen single zircon grain analyses (excluding two older and four younger grains) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,ammonoid,NW Europe,"Eumorphoceras yatesae Zone",Tuff occurs within the upper part of the Eumorphoceras yatesae (E2a3) Marine Band of early Arnsbergian age.,Waters and Condon (2012)
Cb12,Cb8,tonstein; Ludmila coal (043),"Upper Silesian Basin, Ostrava, Czech Republic","~49.8oN, 18.3oE","Petrkovice Member, Ostrava Fm",328.48,± 0.19,± 0.41,206Pb/238U,"Weighted mean of 5 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",ammonoid,NW Europe,"Eumorphoceras yatesae Zone",Pendleian Substage of lower Namurian A (lower Serpukhovian).,Gastaldo et al. (2009)
Cb11,,bentonite; sample W13,"Anhee Sud locality, disused Watrisse Quarry, Namur-Dinant Basin, Belgium","50o16.5'N, 4o54.7'E","Lower Member, Anhee Fm",332.5,± 0.07,± 0.40,206Pb/238U,Five of six single zircon grain analyses (excluding one older grain) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET2535 spike.,fusulinid,NW Europe,MFZ14 foraminiferal Zone,"near the middle of the MFZ14 foraminiferal zone, in the upper Asbian Substage of northwestern Europe and the upper Lower Warnantian Substage of Belgium",Pointon et al. (2014)
Cb10,Cb7,bentonite; Bed 8,"Verkhnyaya Kardailovka section, Southern Urals, Russia","52.28630oN, 58.92426oE","Gusikhin Fm, Bed 21-8",333.87,± 0.18,± 0.39,206Pb/238U,"Weighted mean of 4 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike. Twelve other single zircons yielded older ages indicative of reworking of the original pyroclastic deposit.",conodont,Boreal,"Lochriea mononodosa Zone","1.48 m below the FOD of Lochriea ziegleri, in the middle part of the Lochriea mononodosa zone, and Hypergoniatites-Ferganoceras ammonoid genozone of the Urals.",Schmitz and Davydov (2012)
Cb9,,bentonite; sample W8,"Yvoir or Anhe ́e Nord locality, abandon quarry to the north of the village of Anhe ́e, Namur-Dinant Basin, Belgium","50o19.8'N, 4o53.5'E","Poilvache Member, Bonne River Fm",335.59,± 0.19,± 0.44,206Pb/238U,Three of nine single zircon grain analyses (excluding six older grains) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET2535 spike.,fusulinid,NW Europe,MFZ13 foraminiferal zone,"near the base of the MFZ13 foraminiferal zone, in the lower Asbian Substage of northwestern Europe and the lowermost Warnantian Substage of Belgium",Pointon et al. (2014)
